Index|Speaker|Text|Timestamp Marker
1|1|Recording.|[00:00:01]
2|2|So we were doing a siren, weren't we?|
3|2|But that was mainly for the upper stuff, wasn't it?|
4|1|The siren, I think you decided that was gone because that was replaced.|
5|2|Yeah, we completely scrubbed that one out.|
6|1|Yeah.|
7|2|But that was kind of, but sorry, let me take, I'd obviously run that down before I'd scrubbed that out.|
8|2|So the fried clear to breathy was more for the falsetto, wasn't it?|
9|1|Was, but...|
10|1|I'm finding that it's useful for me to understand how can I get from fry to chest voice and from fry to falsetto.|
11|2|Yeah, which is great.|
12|1|Yeah.|
13|2|Which is great.|
14|2|But when you're trying to do moon river, like that kind of thing, depending on what tone you're going for, it may or may not be helpful.|
15|1|Yes, it was to try and get a bit of character into it, actually.|
16|1|Because I thought, wow, your voice is just sounding dull.|
17|1|It's not in tune.|
18|2|It's flat.|[00:01:01]
19|2|Okay.|
20|2|Okay.|
21|2|Well, let's play around with tone today.|
22|2|So let's look at breath and tone.|
23|2|Yeah, cool.|
24|2|Moon River.|
25|2|Moon River.|
26|2|On the wrong side.|
27|2|Let me know that tone.|
28|2|Do you feel warm?|
29|2|I'm.|
30|1|Fine.|
31|2|Singing as in sorry as in singing.|
32|1|I warmed up as ever.|
33|1|I like you to cast your opinion.|
34|1|Yes, sure.|
35|2|Always, always.|
36|2|Cool.|
37|2|So let's do some.|
38|2|Let's do some fries close breathy.|
40|2|Let's maybe do a literal first.|
42|2|Just to get us into it.|
43|2|Have you done any singing today?|
44|2|Yeah.|
45|2|A little bit.|
46|2|OK.|
47|2|So we're doing literal just for full range and then we'll crack on.|
48|2|So let's start down here.|
49|2|Cool.|[00:02:35]
50|2|Can you kind of hear that it was changing tone throughout?|
51|1|Yes, actually.|
52|1|Yeah.|
53|2|So does that normally happen at home?|
54|2|It's OK if it does.|
55|1|Recently, maybe.|
56|1|I'm not sure.|
57|2|That's OK.|
58|2|So if you go for like an imagine you're doing an in the mouth, so you're going to go.|
59|2|Obviously your lips are.|
60|2|So this is more to do with your tongue.|
61|1|Right.|
62|2|Yes.|
